id,name_ja,name_en,image_file_path,category,is_dictionary_visible,series_id,series_ja,series_en,rarity,expansion,hp,phy,int,agi,active_skill_name_ja,active_skill_name_en,active_skill_text_ja,active_skill_text_en,aura_name_ja,aura_text_ja
1001,ノービスブレード,Novice Blade,Image/Extensions/1001.png,legacy,true,1,ブレード,Blade,Common,Legacy,60,59,0,0,ノービススラッシュ,Novice Slash,先頭の敵に自身のPHYの50 ~ 60%ダメージ,Deal damage to the first enemy equal to 50 ~ 60% of this hero's PHY.,,
1002,ノービスマスケット,Novice Musket,Image/Extensions/1002.png,legacy,true,2,マスケット,Musket,Common,Legacy,0,0,59,20,ノービスショット,Novice Shots,敵全体に自身のINTの25 ~ 30%ダメージ,Deal damage to all enemies equal to 25 ~ 30% of this hero's INT.,,
1003,ノービスペン,Novice Quill,Image/Extensions/1003.png,legacy,true,3,ペン,Quill,Common,Legacy,0,0,40,39,リカバリー,Recovery,HPが最も低い味方のHPを回復係数の30 ~ 40%回復,Heal the ally with the lowest HP for 30 ~ 40% of Healing Coefficient.,,
1004,ノービスアーマー,Novice Armor,Image/Extensions/1004.png,legacy,true,4,アーマー,Armor,Common,Legacy,177,20,0,0,ノービスプロテクション,Novice Protection,自身のPHYを自身のPHYの5 ~ 10%アップ,Increase this hero's PHY by 5 ~ 10% of this hero's PHY.,,
1005,ノービスホース,Novice Horse,Image/Extensions/1005.png,legacy,true,5,ホース,Horse,Common,Legacy,135,0,0,44,ノービスチャージ,Novice Charge,自身のAGIを自身のAGIの10%アップ,Increase this hero's AGI by 10% of this hero's AGI.,,
1006,ノービスカタナ,Novice Katana,Image/Extensions/1006.png,legacy,true,6,カタナ,Katana,Common,Legacy,0,59,0,20,ノービスイアイ,Novice Iaido,先頭の敵に自身のPHYの45 ~ 55%ダメージ,Deal damage to the first enemy equal to 45 ~ 55% of this hero's PHY.,,
1008,ノービスブック,Novice Book,Image/Extensions/1008.png,legacy,true,8,ブック,Book,Common,Legacy,60,0,59,0,ノービスリーディング,Novice reading,敵全体に自身のINTの25 ~ 30%ダメージ,Deal damage to all enemies equal to 25 ~ 30% of this hero's INT.,,
1009,ノービスリング,Novice Ring,Image/Extensions/1009.png,legacy,true,9,リング,Ring,Common,Legacy,60,0,39,20,ノービスブライト,Novice bright,HPが最も低い味方のHPを回復係数の30 ~ 40%回復,Heal the ally with the lowest HP for 30 ~ 40% of Healing Coefficient.,,
1010,ノービスシールド,Novice Shield,Image/Extensions/1010.png,legacy,true,10,シールド,Shield,Common,Legacy,117,20,0,20,ノービスバッシュ,Novice bash,先頭の敵に自身のPHYの25 ~ 30%ダメージ / 先頭の敵のAGIを自身のPHYの5%ダウン,Deal damage to the first enemy equal to 25 ~ 30% of this hero's PHY. / Decrease the first enemy's AGI by 5% of this hero's PHY.,,
1011,アックス,Axe,Image/Extensions/1011.png,legacy,true,11,アックス,Axe,Common,Legacy,39,64,0,0,バイセクト,bisect,先頭の敵に自身のPHYの45 ~ 55%ダメージ,Deal damage to the first enemy equal to 45 ~ 55% of this hero's PHY.,,
1012,ETHEREMON-EKOPI,ETHEREMON-EKOPI,Image/Extensions/1012.png,legacy,true,12,ETHEREMON,ETHEREMON,Common,Legacy,0,52,27,0,ゴー!エコピー!,Go EKOPI!,先頭の敵に自身のPHYの40%ダメージ / 自身のPHYを自身のPHYの3%アップ,Deal damage to the first enemy equal to 40% of this hero's PHY. / Increase this hero's PHY by 3% of this hero's PHY.,,
1013,ユミ,Yumi,Image/Extensions/1013.png,legacy,true,13,ユミ,Yumi,Common,Legacy,0,40,0,39,ヤブサメ,Yabusame,INTが最も高い敵に自身のPHYの35 ~ 45%ダメージ,Deal damage to the enemy with the highest INT equal to 35 ~ 45% of this hero's PHY.,,
1014,クロススピア,Cross Spear,Image/Extensions/1014.png,legacy,true,14,クロススピア,Cross Spear,Common,Legacy,60,39,0,20,モロテヅキ,Double thrust,「先頭の敵に自身のPHYの20 ~ 25%ダメージ」を2回繰り返す,[2 times]Deal damage to the first enemy equal to 20 ~ 25% of this hero's PHY.,,
1015,ハルバード,Halberd,Image/Extensions/1015.png,legacy,true,15,ハルバード,Halberd,Common,Legacy,60,59,0,0,スイングダウン,Swing,先頭の敵に自身のPHYの40 ~ 50%ダメージ / 先頭の敵に{successRate}%の確率で混乱を付与,Deal damage to the first enemy equal to 40 ~ 50% of this hero's PHY. / {successRate}% chance to inflict Confusion on the first enemy.,,
1016,スクロール,Scrolls,Image/Extensions/1016.png,legacy,true,16,スクロール,Scrolls,Common,Legacy,0,0,59,20,タクティクス,Tactics,敵全体に自身のINTの15 ~ 20%ダメージ / AGIが最も高い敵に{successRate}%の確率で毒を付与,Deal damage to all enemies equal to 15 ~ 20% of this hero's INT. / {successRate}% chance to inflict Poison on the enemy with the highest AGI.,,
1017,ネックレス,Necklace,Image/Extensions/1017.png,legacy,true,17,ネックレス,Necklace,Common,Legacy,60,0,20,39,ヒーリング,Healing ,HPが最も低い味方のHPを回復係数の10%回復 / 自身のHPを回復係数の10%回復,Heal the ally with the lowest HP for 10% of Healing Coefficient. / Heal this hero for 10% of Healing Coefficient.,,
1018,カブト,Kabuto,Image/Extensions/1018.png,legacy,true,18,カブト,Kabuto,Common,Legacy,117,20,20,0,デバインプロテクション,Divine protection,自身のPHYを自身のPHYの6 ~ 11%アップ / 自身のINTを自身のINTの6 ~ 11%アップ,Increase this hero's PHY by 6 ~ 11% of this hero's PHY. / Increase this hero's INT by 6 ~ 11% of this hero's INT.,,
